particle_no,perimeter,convex_perimeter,area,convex_area,solidity,convexity,equivalent_diameter,circularity,compactness,min_feret,max_feret,minor_dim,major_dim,aspect_ratio,feret_ratio,fiber_length,curl,fiber_average_diameter,fiber_elongation
0,156.02438661763952,91.70112907313928,336.0,542.0,0.6199261992619927,0.5877358729687959,20.683531783305643,0.5021110458858652,0.17344595406411567,21.633307652783937,38.07886552931954,38.745452880859375,2172.509033203125,56.07132893461068,0.5681184917687992,42,0.9066396554599891,8.0,0.19047619047619047
1,74.18376618407352,65.41491116911023,258.5,292.0,0.8852739726027398,0.8817954996622176,18.1420071192258,0.7591313020362498,0.5902726427924523,18.027756377319946,24.839484696748443,26.07272720336914,1606.0,61.596931823552055,0.7257701436809528,17,1.4611461586322614,15.205882352941176,0.8944636678200691
2,28.72792206135786,27.761609709805104,45.5,49.5,0.9191919191919192,0.9663633050281576,7.611333607551958,0.7418771108603989,0.6928079026695545,6.4031242374328485,11.40175425099138,12.109090805053711,330.0,27.252252486394354,0.5615911461059686,6,1.9002923751652299,7.583333333333333,1.2638888888888888
3,8.82842712474619,8.82842712474619,5.0,5.0,1.0,1.0,2.5231325220201604,0.806145057197707,0.806145057197707,2.23606797749979,3.605551275463989,5.472727298736572,60.509090423583984,11.056478264055482,0.6201736729460423,3,1.2018504251546631,1.6666666666666667,0.5555555555555556
4,25.313708498984763,22.830621427371835,21.0,29.5,0.711864406779661,0.9019074162241967,5.170882945826411,0.5062834061955102,0.4118296487266421,5.0990195135927845,9.486832980505138,10.672727584838867,187.0,17.521294206519677,0.5374838498865699,9,1.0540925533894598,2.3333333333333335,0.2592592592592593
5,56.76955262170045,47.44139115627639,97.0,134.0,0.7238805970149254,0.8356837242036267,11.11324596323283,0.5415851740402534,0.3782253686191296,9.848857801796104,20.248456731316587,21.090909957885742,671.0,31.814653864619903,0.48640041720136146,19,1.0657082490166625,5.105263157894737,0.2686980609418283
6,48.38477631085023,44.67041418563427,101.5,119.0,0.8529411764705882,0.9232328346140765,11.368105109938904,0.6391987951715249,0.5448267607823457,8.602325267042627,18.439088914585774,19.654544830322266,687.5090942382812,34.979649753965255,0.4665265896211377,13,1.4183914549681365,7.8076923076923075,0.6005917159763313
7,71.35533905932735,66.18982141828104,235.5,262.0,0.898854961832061,0.9276085334448273,17.31611713939158,0.6754891176384189,0.5812297391257986,15.811388300841896,26.248809496813376,26.909090042114258,1474.0,54.77702879187316,0.6023659207386686,19,1.3815162893059671,12.394736842105264,0.6523545706371191
8,19.071067811865476,17.99358721828541,16.5,20.5,0.8048780487804879,0.9435018214916268,4.583497844237541,0.6404102901579923,0.5700904783102594,4.123105625617661,7.0,7.854545593261719,148.50909423828125,18.907407497345826,0.5890150893739515,1,7.0,16.5,16.5
9,27.556349186104054,24.714025932047107,35.5,43.0,0.8255813953488372,0.8968541429468365,6.723094811029982,0.7303839497953711,0.5874823972181288,7.0710678118654755,8.54400374531753,9.5090913772583,269.50909423828125,28.342255168862117,0.8276058886023681,8,1.0680004681646913,4.4375,0.5546875
10,139.63961030678922,81.06888305058965,278.5,462.5,0.6021621621621621,0.5805579296052226,18.83075179616424,0.5325086718919219,0.17948072171622112,23.194827009486403,27.80287754891569,28.709091186523438,1837.0,63.98669982497812,0.8342599419314782,34,0.8177316926151673,8.191176470588236,0.24091695501730104
11,39.21320343559643,35.734218477837324,72.5,84.0,0.8630952380952381,0.9112802665185727,9.607802401865856,0.7134758769025722,0.5924930025928972,8.0,14.317821063276353,15.545454978942871,500.50909423828125,32.196490544422595,0.5587442366156625,9,1.5908690070307059,8.055555555555555,0.8950617283950617
12,65.11269837220807,49.013602457915766,117.0,165.5,0.7069486404833837,0.752750288088754,12.205286835384658,0.6120155796986132,0.346788221656539,12.529964086141668,18.110770276274835,19.163637161254883,808.5090942382812,42.18975173840841,0.6918515278478221,18,1.0061539042374907,6.5,0.3611111111111111
13,32.72792206135786,31.29415029803118,59.5,65.5,0.9083969465648855,0.9561911764322018,8.703892974511014,0.7634849871098485,0.6980555192455962,7.0710678118654755,12.165525060596439,13.109090805053711,418.0,31.88626932379292,0.5812381937190965,9,1.3517250067329376,6.611111111111111,0.7345679012345678
14,10.82842712474619,10.47213595499958,5.0,6.0,0.8333333333333334,0.9670966830508211,2.5231325220201604,0.5729402387539834,0.535857251514014,2.23606797749979,4.47213595499958,5.472727298736572,66.0,12.059800607137266,0.5,5,0.894427190999916,1.0,0.2
15,34.14213562373095,32.631691109702025,51.0,57.5,0.8869565217391304,0.9557601044446947,8.058239062071396,0.6018674789713555,0.5497923261417001,6.082762530298219,14.560219778561036,15.92727279663086,374.0,23.481735057561973,0.417765845763859,15,0.9706813185707357,3.4,0.22666666666666666
16,52.28427124746189,48.98995983599454,98.0,119.5,0.8200836820083682,0.9369923050877893,11.170383851240114,0.5131233440440316,0.4504989899025306,8.0,21.93171219946131,22.672727584838867,671.0,29.595027659958042,0.3647686020700426,18,1.2184284555256282,5.444444444444445,0.30246913580246915
17,21.899494936611667,20.47598615915314,23.5,27.5,0.8545454545454545,0.9349981001124049,5.4700209598571305,0.7043492746003487,0.6157572421851119,4.242640687119285,8.06225774829855,8.92727279663086,192.50909423828125,21.564154991537162,0.5262348115842175,5,1.6124515496597098,4.7,0.9400000000000001
18,27.55634918610405,23.90189443995898,24.5,36.5,0.6712328767123288,0.8673824779376827,5.585191925620057,0.5389038673919386,0.40544559808011715,5.0990195135927845,9.219544457292887,10.345454216003418,203.50909423828125,19.671354199554848,0.5530663187549721,10,0.9219544457292888,2.45,0.24500000000000002
19,18.48528137423857,17.877054302287245,19.0,21.0,0.9047619047619048,0.9670966830508211,4.918490759365935,0.7470876312483519,0.6987331271957613,4.123105625617661,7.280109889280518,8.181818008422852,159.50909423828125,19.495556375621295,0.5663521139548542,5,1.4560219778561037,3.8,0.76
20,60.18376618407354,49.274330687066296,127.5,165.0,0.7727272727272727,0.81873125946222,12.741194683142286,0.6599006880768099,0.44234520679031875,12.206555615733702,18.027756377319946,18.654544830322266,841.5090942382812,45.11013814019411,0.6770978795281657,12,1.5023130314433288,10.625,0.8854166666666666
21,21.899494936611667,20.284695155040843,24.5,28.0,0.875,0.9262631496185241,5.585191925620057,0.748236651244389,0.6419596780227761,5.830951894845301,7.280109889280518,8.454545021057129,198.0,23.419356039485933,0.8009428406336274,4,1.8200274723201295,6.125,1.53125
22,24.72792206135786,22.95741732923815,31.5,36.0,0.875,0.928400585875088,6.333012368467128,0.751059527438295,0.6473589718826305,5.830951894845301,8.94427190999916,9.781818389892578,242.0,24.739776425419567,0.6519202405202649,6,1.4907119849998598,5.25,0.875
